,title,views,date_time,video_link,thumbnail_link
27,Build Your Own GUI CALENDAR with Tkinter in Python | Python Projects | GeeksforGeeks,788 views,2 months ago,https://www.youtube.com/watch?v=W2S8NnlJtgk,https://i.ytimg.com/vi/W2S8NnlJtgk/hqdefault.jpg
28,Implementing Simple and Custom ALERT DIALOG BOX in Flutter Apps | Flutter Projects | GeeksforGeeks,604 views,2 months ago,https://www.youtube.com/watch?v=b6iw6dLQ7AU,https://i.ytimg.com/vi/b6iw6dLQ7AU/hqdefault.jpg
29,How to EXTRACT AUDIO from VIDEO using Python | Python Projects | GeeksforGeeks,999 views,2 months ago,https://www.youtube.com/watch?v=SrPi0FrmGiE,https://i.ytimg.com/vi/SrPi0FrmGiE/hqdefault.jpg
30,How to Create LANGUAGE TRANSLATOR Application in Flutter | Flutter Projects | GeeksforGeeks,1.3K views,2 months ago,https://www.youtube.com/watch?v=CeupjFXlFiQ,https://i.ytimg.com/vi/CeupjFXlFiQ/hqdefault.jpg
31,🍷 WINE QUALITY PREDICTION using RANDOM FOREST Algorithm | Machine Learning Projects | GeeksforGeeks,877 views,2 months ago,https://www.youtube.com/watch?v=MyllYgc-kh8,https://i.ytimg.com/vi/MyllYgc-kh8/hqdefault.jpg
32,Create a QR CODE SCANNER and GENERATOR Application using Flutter | Flutter Projects | GeeksforGeeks,5.4K views,2 months ago,https://www.youtube.com/watch?v=hm5JfFhiXL8,https://i.ytimg.com/vi/hm5JfFhiXL8/hqdefault.jpg
33,Create AI DESKTOP VIRTUAL ASSISTANT using Python and Tkinter | Python Projects | GeeksforGeeks,2.5K views,2 months ago,https://www.youtube.com/watch?v=tZl1_AcC7Dw,https://i.ytimg.com/vi/tZl1_AcC7Dw/hqdefault.jpg
34,Graph Practice Problems | Graph Data Structure | DSA Course | GeeksforGeeks,1.3K views,2 months ago,https://www.youtube.com/watch?v=pCmsQVHYXK0,https://i.ytimg.com/vi/pCmsQVHYXK0/hqdefault.jpg
35,Face Detection using Python and OpenCV with webcam | Python Projects | GeeksforGeeks,1.6K views,2 months ago,https://www.youtube.com/watch?v=129exLkKeks,https://i.ytimg.com/vi/129exLkKeks/hqdefault.jpg
36,Plagiarism Detection using Python | Python Projects | GeeksforGeeks,1.3K views,2 months ago,https://www.youtube.com/watch?v=QFQItyHsxZY,https://i.ytimg.com/vi/QFQItyHsxZY/hqdefault.jpg
37,Weapon Detection Using Python-OpenCV | Python Projects | GeeksforGeeks,3.4K views,2 months ago,https://www.youtube.com/watch?v=xlcNMlyN34g,https://i.ytimg.com/vi/xlcNMlyN34g/hqdefault.jpg
38,TITANIC SURVIVAL PREDICTION using TensorFlow | Machine Learning Projects | GeeksforGeeks,1K views,2 months ago,https://www.youtube.com/watch?v=cRYSIR6LaNQ,https://i.ytimg.com/vi/cRYSIR6LaNQ/hqdefault.jpg
39,What is BACKEND DEVELOPMENT? | Explained in 60 seconds | Full Stack Concepts | GeeksforGeeks,1.2K views,2 months ago,https://www.youtube.com/watch?v=C2u6_wOYlPc,https://i.ytimg.com/vi/C2u6_wOYlPc/hqdefault.jpg
40,STOCK PRICE PREDICTION using Machine Learning📈 | Machine Learning Projects | GeeksforGeeks,11K views,2 months ago,https://www.youtube.com/watch?v=tn07dCSFOfQ,https://i.ytimg.com/vi/C2u6_wOYlPc/hqdefault.jpg
41,What is FRONTEND DEVELOPMENT? | Explained in 60 seconds | Full Stack Concepts | GeeksforGeeks,971 views,2 months ago,https://www.youtube.com/watch?v=IiM10iV_Zug,https://i.ytimg.com/vi/C2u6_wOYlPc/hqdefault.jpg
42,Air Quality Index Prediction in Python | Machine Learning Projects | GeeksforGeeks,3.3K views,2 months ago,https://www.youtube.com/watch?v=0myaZxl4XWw,https://i.ytimg.com/vi/C2u6_wOYlPc/hqdefault.jpg
43,TWITTER SENTIMENT ANALYSIS (NLP) | Machine Learning Projects | GeeksforGeeks,16K views,2 months ago,https://www.youtube.com/watch?v=4YGkfAd2iXM,https://i.ytimg.com/vi/C2u6_wOYlPc/hqdefault.jpg
44,Diabetes Prediction in Machine Learning using Python | Machine Learning Projects | GeeksforGeeks,3.7K views,2 months ago,https://www.youtube.com/watch?v=AxYgzie4x2E,https://i.ytimg.com/vi/C2u6_wOYlPc/hqdefault.jpg
45,Stack Practice Question | Parenthesis Checker | Learn DSA Concepts | GeeksforGeeks,797 views,2 months ago,https://www.youtube.com/watch?v=2ay2GCrmf9E,https://i.ytimg.com/vi/C2u6_wOYlPc/hqdefault.jpg
